sample_id,scenario_type,constraint_count,exact_phrase_candidates,all_token_candidates,bm25_cutoff_candidates,dense_nn_candidates,hybrid_candidates,oracle_only
public_0049,browsing,3,0,38,121,287,56,True
public_0049,browsing,4,0,25,127,63,51,True
public_0050,boundary,0,47,562,37,213,50,True
public_0050,boundary,1,38,279,35,524,36,True
public_0050,boundary,2,20,233,36,315,40,True
public_0050,boundary,3,1,134,50,499,35,True
public_0050,boundary,4,1,57,71,296,40,True
public_0051,browsing,0,370,1847,185,132,57,True
public_0051,browsing,1,183,985,293,346,65,True
public_0051,browsing,2,1,326,25,86,36,True
public_0051,browsing,3,1,62,26,28,46,True
public_0051,browsing,4,1,60,19,30,44,True
public_0052,intent_override,0,519,1792,190,487,68,True
public_0052,intent_override,1,233,840,199,706,72,True
public_0052,intent_override,2,27,445,153,462,62,True
public_0052,intent_override,3,4,180,429,307,56,True
public_0052,intent_override,4,2,81,538,692,56,True
public_0053,buying,0,13,504,17,8,40,True
public_0053,buying,1,6,117,18,5,35,True
public_0053,buying,2,1,41,22,3,39,True
public_0053,buying,3,1,40,22,3,36,True
public_0053,buying,4,1,9,22,3,32,True
public_0054,buying,0,0,6420,157,201,52,True
public_0054,buying,1,0,2003,170,320,46,True
public_0054,buying,2,0,1598,178,218,43,True
public_0054,buying,3,0,839,258,92,38,True
public_0054,buying,4,0,487,266,466,26,True
public_0055,browsing,0,283,5838,82,127,65,True
public_0055,browsing,1,1,231,97,38,57,True
public_0055,browsing,2,1,115,105,38,55,True
public_0055,browsing,3,1,19,86,57,45,True
public_0055,browsing,4,1,5,166,66,50,True
public_0056,browsing,0,1357,6551,389,353,46,True
public_0056,browsing,1,1071,3659,299,376,47,True
public_0056,browsing,2,1,871,20,286,75,True
public_0056,browsing,3,1,652,22,291,71,True
public_0056,browsing,4,1,84,29,290,71,True
public_0057,browsing,0,283,5838,82,127,65,True
public_0057,browsing,1,10,304,92,36,71,True
public_0057,browsing,2,9,177,100,38,70,True
public_0057,browsing,3,2,22,80,55,47,True
public_0057,browsing,4,1,9,155,71,51,True
public_0058,buying,0,49,216,45,28,56,True
public_0058,buying,1,27,76,47,27,51,True
public_0058,buying,2,13,55,48,22,49,True
public_0058,buying,3,9,22,51,30,53,True
public_0058,buying,4,6,16,56,30,52,True
public_0059,browsing,0,28,122,33,195,23,True
public_0059,browsing,1,10,27,35,498,20,True
public_0059,browsing,2,1,12,43,511,33,True
public_0059,browsing,3,1,5,44,758,30,True
public_0059,browsing,4,1,4,87,432,25,True
public_0060,browsing,0,68,991,45,146,52,True
public_0060,browsing,1,40,406,54,147,51,True
public_0060,browsing,2,1,161,63,139,54,True
public_0060,browsing,3,1,79,65,138,54,True
public_0060,browsing,4,1,25,92,313,46,True
public_0061,buying,0,88,4148,125,186,56,True
public_0061,buying,1,1,58,137,50,55,True
public_0061,buying,2,0,23,142,181,44,True
public_0061,buying,3,0,4,123,64,58,True
public_0061,buying,4,0,4,90,53,49,True
public_0062,browsing,0,68,4198,65,54,45,True
public_0062,browsing,1,21,1836,76,201,39,True
public_0062,browsing,2,2,493,91,51,39,True
public_0062,browsing,3,1,137,259,61,25,True
public_0062,browsing,4,1,45,253,54,31,True
public_0063,browsing,0,56,22615,263,165,80,True
public_0063,browsing,1,31,5639,158,268,63,True
public_0063,browsing,2,1,557,272,1199,41,True
public_0063,browsing,3,1,239,253,1268,36,True
public_0063,browsing,4,1,186,268,507,31,True
public_0064,intent_override,0,141,897,51,41,37,True
public_0064,intent_override,1,27,255,51,272,31,True
public_0064,intent_override,2,4,163,51,351,31,True
public_0064,intent_override,3,3,93,57,343,34,True
public_0064,intent_override,4,2,43,77,124,16,True
public_0065,buying,0,6,1687,14,224,67,True
public_0065,buying,1,3,774,16,320,27,True
public_0065,buying,2,3,449,21,336,18,True
public_0065,buying,3,2,190,21,47,34,True
public_0065,buying,4,1,49,8,137,23,True
public_0066,buying,0,136,1499,91,376,41,True
public_0066,buying,1,69,701,94,406,55,True
public_0066,buying,2,1,145,109,601,60,True
public_0066,buying,3,1,61,114,648,55,True
public_0066,buying,4,1,22,160,825,60,True
public_0067,buying,0,31,910,68,31,41,True
public_0067,buying,1,22,378,69,62,40,True
public_0067,buying,2,22,378,69,74,41,True
public_0067,buying,3,13,172,71,135,44,True
public_0067,buying,4,12,100,82,78,44,True
public_0068,intent_override,0,370,1847,185,132,57,True
public_0068,intent_override,1,114,628,207,637,45,True
public_0068,intent_override,2,67,380,297,404,62,True
public_0068,intent_override,3,1,28,147,544,29,True
public_0068,intent_override,4,1,23,39,263,32,True
public_0069,browsing,0,503,1286,343,170,57,True
public_0069,browsing,1,1,579,10,21,44,True
public_0069,browsing,2,1,257,7,39,47,True
public_0069,browsing,3,1,235,6,71,53,True
public_0069,browsing,4,1,223,5,71,53,True
public_0070,browsing,0,13,1397,177,17,39,True
public_0070,browsing,1,6,146,159,218,38,True
public_0070,browsing,2,1,93,58,34,30,True
public_0070,browsing,3,1,45,84,9,52,True
public_0070,browsing,4,1,37,83,9,52,True
public_0071,intent_override,0,0,6420,157,201,52,True
public_0071,intent_override,1,0,1481,177,204,52,True
public_0071,intent_override,2,0,418,190,374,41,True
public_0071,intent_override,3,0,176,194,350,41,True
public_0071,intent_override,4,0,108,284,260,46,True
public_0072,intent_override,0,9,394,180,5,63,True
public_0072,intent_override,1,2,32,114,18,72,True
public_0072,intent_override,2,1,7,124,22,51,True
public_0072,intent_override,3,1,5,129,30,50,True
public_0072,intent_override,4,1,3,126,48,48,True
public_0073,browsing,0,799,5089,104,208,57,True
public_0073,browsing,1,349,2216,116,503,30,True
public_0073,browsing,2,1,782,156,159,16,True
public_0073,browsing,3,1,286,163,304,18,True
public_0073,browsing,4,1,90,207,271,15,True
public_0074,browsing,0,370,1847,185,132,57,True
public_0074,browsing,1,162,545,181,104,40,True
public_0074,browsing,2,43,200,178,237,35,True
public_0074,browsing,3,4,128,222,450,48,True
public_0074,browsing,4,1,17,193,249,30,True
public_0075,browsing,0,258,2317,93,230,65,True
public_0075,browsing,1,177,398,137,160,53,True
public_0075,browsing,2,55,341,92,123,47,True
public_0075,browsing,3,1,204,102,109,57,True
public_0075,browsing,4,1,24,97,90,54,True
public_0076,browsing,0,95,22136,130,87,61,True
public_0076,browsing,1,55,3759,163,99,52,True
public_0076,browsing,2,0,431,143,183,36,True
public_0076,browsing,3,0,22,83,162,48,True
public_0076,browsing,4,0,15,81,180,43,True
public_0077,browsing,0,4,2133,129,95,63,True
public_0077,browsing,1,2,928,143,139,49,True
public_0077,browsing,2,1,198,127,156,38,True
