fixture_id,memory_id,memory_text,label,component,coefficient,projected_energy,projected_energy_share
u3_distractor_s9_final,memory_568314a9bdc9198abf7f81f36709b569a00155c27514a8d5cdb475adadcbc6af,feature: secure pockets,SAME_CATEGORY_HARD_NEGATIVE,1,-0.11691397227453837,0.013668876913011526,0.24508974850523957
u3_distractor_s9_final,memory_568314a9bdc9198abf7f81f36709b569a00155c27514a8d5cdb475adadcbc6af,feature: secure pockets,SAME_CATEGORY_HARD_NEGATIVE,8,-0.07965779238761886,0.006345363888068989,0.11377552445590203
u3_distractor_s9_final,memory_568314a9bdc9198abf7f81f36709b569a00155c27514a8d5cdb475adadcbc6af,feature: secure pockets,SAME_CATEGORY_HARD_NEGATIVE,9,0.06313117237466027,0.003985544925399069,0.07146279900234902
u3_distractor_s9_final,memory_568314a9bdc9198abf7f81f36709b569a00155c27514a8d5cdb475adadcbc6af,feature: secure pockets,SAME_CATEGORY_HARD_NEGATIVE,2,0.05790616123103475,0.003353123508514592,0.06012316905323463
u3_distractor_s9_final,memory_7805ecfa0caf62337567e0a902e0816f8bac49099e51c8dbfb134bc2ef942e38,fit: compression,SAME_CATEGORY_HARD_NEGATIVE,5,-0.1211264815884562,0.014671624541998617,0.19736874181197595
u3_distractor_s9_final,memory_7805ecfa0caf62337567e0a902e0816f8bac49099e51c8dbfb134bc2ef942e38,fit: compression,SAME_CATEGORY_HARD_NEGATIVE,4,-0.11103217663751741,0.012328144248864867,0.16584327879368896
u3_distractor_s9_final,memory_7805ecfa0caf62337567e0a902e0816f8bac49099e51c8dbfb134bc2ef942e38,fit: compression,SAME_CATEGORY_HARD_NEGATIVE,1,-0.10406254645627193,0.010829013574963754,0.14567635494196285
u3_distractor_s9_final,memory_7805ecfa0caf62337567e0a902e0816f8bac49099e51c8dbfb134bc2ef942e38,fit: compression,SAME_CATEGORY_HARD_NEGATIVE,8,-0.10298452013382427,0.010605811387194056,0.14267374709552563
u3_distractor_s9_final,memory_7805ecfa0caf62337567e0a902e0816f8bac49099e51c8dbfb134bc2ef942e38,fit: compression,SAME_CATEGORY_HARD_NEGATIVE,16,-0.10116657065263485,0.010234675017614558,0.13768106764855068
u3_distractor_s9_final,memory_b21cacfd6515e3243c20eae2eccb4090f3aa6c942be8083328d0d75857e2d3d9,style: hooded,SAME_CATEGORY_HARD_NEGATIVE,1,-0.17703511154610055,0.03134143072014026,0.4439840665199573
u3_distractor_s9_final,memory_b21cacfd6515e3243c20eae2eccb4090f3aa6c942be8083328d0d75857e2d3d9,style: hooded,SAME_CATEGORY_HARD_NEGATIVE,5,-0.14043691668799127,0.0197225275688298,0.27939018069248606
u3_distractor_s9_final,memory_b21cacfd6515e3243c20eae2eccb4090f3aa6c942be8083328d0d75857e2d3d9,style: hooded,SAME_CATEGORY_HARD_NEGATIVE,11,-0.06629497404000063,0.004395023582964358,0.062260094640851665
u3_distractor_s9_final,memory_b21cacfd6515e3243c20eae2eccb4090f3aa6c942be8083328d0d75857e2d3d9,style: hooded,SAME_CATEGORY_HARD_NEGATIVE,13,-0.04822913521421828,0.00232604948351135,0.032950917838998825
u3_distractor_s9_final,memory_b21cacfd6515e3243c20eae2eccb4090f3aa6c942be8083328d0d75857e2d3d9,style: hooded,SAME_CATEGORY_HARD_NEGATIVE,12,-0.04616543864310004,0.0021312477251098348,0.03019134768304023
u3_distractor_s9_final,memory_b3f9906f63b20797ce908b10a12a987f81a62b5296129d55353cbd1ba7358899,use_case: hiking,SAME_CATEGORY_HARD_NEGATIVE,8,-0.10724009977752322,0.011500439000293135,0.23749431806855265
u3_distractor_s9_final,memory_b3f9906f63b20797ce908b10a12a987f81a62b5296129d55353cbd1ba7358899,use_case: hiking,SAME_CATEGORY_HARD_NEGATIVE,1,-0.09424068689632528,0.008881307066691217,0.18340690866735482
u3_distractor_s9_final,memory_b3f9906f63b20797ce908b10a12a987f81a62b5296129d55353cbd1ba7358899,use_case: hiking,SAME_CATEGORY_HARD_NEGATIVE,10,-0.0764105256499201,0.005838568430097097,0.12057164320137227
u3_distractor_s9_final,memory_b3f9906f63b20797ce908b10a12a987f81a62b5296129d55353cbd1ba7358899,use_case: hiking,SAME_CATEGORY_HARD_NEGATIVE,5,-0.07634322916044686,0.0058282886386445045,0.12035935634337856
u3_distractor_s9_final,memory_b3f9906f63b20797ce908b10a12a987f81a62b5296129d55353cbd1ba7358899,use_case: hiking,SAME_CATEGORY_HARD_NEGATIVE,2,0.06371463386387376,0.0040595545684074886,0.08383342095562088
u3_distractor_s9_final,memory_15efd52c6253dddd3462efc0c31635c7dbf46b6691aa6dd12f4cd8691f887452,budget: at most 120,USEFUL_ADDITIONAL_STEERING,2,0.07026056869779547,0.004936547513737637,0.3058713627372522
u3_distractor_s9_final,memory_15efd52c6253dddd3462efc0c31635c7dbf46b6691aa6dd12f4cd8691f887452,budget: at most 120,USEFUL_ADDITIONAL_STEERING,1,-0.06735051691727595,0.004536092129024274,0.2810589135717408
u3_distractor_s9_final,memory_15efd52c6253dddd3462efc0c31635c7dbf46b6691aa6dd12f4cd8691f887452,budget: at most 120,USEFUL_ADDITIONAL_STEERING,8,-0.047464026875703676,0.0022528338472575207,0.1395868989336516
u3_distractor_s9_final,memory_15efd52c6253dddd3462efc0c31635c7dbf46b6691aa6dd12f4cd8691f887452,budget: at most 120,USEFUL_ADDITIONAL_STEERING,6,0.040971973494320225,0.001678702612019279,0.10401339278919597
